Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
reedy rentals memphis,1,1,70,32,0.63,https://www.reedyandcompany.com/,56,0.3,35.00,0.32,0,"[11,11,15,23,18,15,11,11,6,8,8,3]",2026-03-15,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
reedy company rentals memphis tn,1,1,70,28,0.63,https://www.reedyandcompany.com/rental-properties/,56,0.3,35.00,0.32,123000,"[17,17,23,23,17,12,17,17,10,12,12,5]",2026-03-30,"Knowledge panel, Video, Related searches",navigational,Organic
reedy and company rentals,1,1,70,33,0.63,https://www.reedyandcompany.com/rental-properties/,56,0.3,35.00,0.32,0,"[11,11,11,18,15,11,11,11,6,8,8,3]",2026-03-19,"Knowledge panel, Video, Related searches",navigational,Organic
rental properties near me,13,13,18100,62,0.51,https://www.reedyandcompany.com/rental-properties/,54,0.29,27.00,0.66,196000000,"[36,66,36,36,36,29,36,44,36,44,36,36]",2026-04-25,"Local pack, Video, People also ask, Related searches",transactional,Organic
tenancy at will,6,5,2400,19,0.44,https://www.reedyandcompany.com/blog/tenant-at-will-explained-everything-you-need-to-know/,52,0.28,22.00,0.02,25400000,"[53,44,44,44,44,44,44,35,35,35,24,29]",2026-04-27,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
reedy property management,2,2,390,25,0.36,https://www.reedyandcompany.com/,51,0.28,18.00,0.11,1240000,"[54,54,44,44,54,54,66,44,44,44,44,44]",2026-04-09,"Local pack, Sitelinks, Video, Image, Related searches",navigational,Organic
homes for rent,36,36,165000,61,0.57,https://www.reedyandcompany.com/rental-properties/,49,0.27,27.00,0.65,578000000,"[67,67,67,67,67,67,67,67,67,67,81,100]",2026-04-24,"Knowledge panel, Related searches",informational,Organic
memphis rental homes,4,4,720,50,0.49,https://www.reedyandcompany.com/rental-properties/,46,0.25,22.00,0.61,5650000,"[36,36,20,27,10,13,20,16,20,13,13,13]",2026-04-19,"Local pack, Video, Image, Related searches",commercial,Organic
home rentals in memphis,5,5,1900,50,0.42,https://www.reedyandcompany.com/rental-properties/,45,0.24,18.00,0.64,37200000,"[0,0,0,0,0,0,1,4,29,66,44,100]",2026-04-24,"Local pack, Video, Related searches",commercial,Organic
property management memphis tn,2,2,1000,49,2.86,https://www.reedyandcompany.com/,44,0.24,125.00,0.47,0,"[81,62,81,100,81,81,55,36,45,62,45,45]",2026-03-15,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
reedy company rentals,1,1,50,29,12.94,https://www.reedyandcompany.com/rental-properties/,40,0.22,517.00,0.32,1310000,"[7,7,3,10,10,7,4,7,4,5,5,4]",2026-04-23,"Knowledge panel, Video, People also ask, Related searches",navigational,Organic
reedy and company rentals memphis tn,1,1,50,32,0.63,https://www.reedyandcompany.com/,40,0.22,25.00,0.32,18500,"[7,7,3,10,10,7,4,7,4,5,5,2]",2026-03-30,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
reedy & company memphis property rentals memphis tn,1,1,50,27,0.63,https://www.reedyandcompany.com/rental-properties/,40,0.22,25.00,0.32,62600,"[7,7,3,10,10,7,4,7,4,5,5,2]",2026-03-23,"Knowledge panel, Video, Related searches",navigational,Organic
apt house,1,1,480,81,0.99,https://www.reedyandcompany.com/blog/apartment-vs-a-house-which-is-better-for-your-needs/,39,0.21,38.00,0.2,301000000,"[16,11,16,8,46,37,16,100,7,13,31,20]",2026-04-15,"Image pack, Video, People also ask, Related searches",informational,Image pack
homes for rent in memphis tn,7,7,1300,38,0.49,https://www.reedyandcompany.com/rental-properties/,39,0.21,19.00,0.61,2680000,"[36,19,19,19,24,15,24,10,24,13,15,19]",2026-04-20,"Video, Related searches",informational,Organic
rental companies in memphis,2,2,880,57,1.09,https://www.reedyandcompany.com/,38,0.21,41.00,0.43,21500000,"[100,66,41,30,36,24,30,16,20,24,30,30]",2026-04-23,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
homes for rent memphis,5,5,880,30,0.42,https://www.reedyandcompany.com/rental-properties/,38,0.21,15.00,0.64,110,"[30,30,30,30,36,24,100,30,30,36,36,36]",2026-04-02,"Video, Related searches",commercial,Organic
houses for rent in memphis,6,6,1000,37,0.42,https://www.reedyandcompany.com/rental-properties/,35,0.19,14.00,0.64,9640000,"[24,8,16,13,7,100,13,13,16,10,10,13]",2026-03-27,"Video, Related searches",informational,Organic
ready company,2,2,260,29,0.56,https://www.reedyandcompany.com/,34,0.18,19.00,0.09,88,"[53,43,66,66,82,82,66,100,66,53,82,82]",2026-04-20,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
rental,37,37,49500,89,0.66,https://www.reedyandcompany.com/rental-properties/,34,0.18,22.00,0.33,2810000000,"[81,54,66,66,66,81,66,81,66,66,54,81]",2026-04-25,"Video, Image, Related searches",commercial,Organic
reedy and co,1,1,40,45,0.46,https://www.reedyandcompany.com/,32,0.17,14.00,0.02,6450000,"[9,14,23,19,14,9,14,9,9,14,4,100]",2026-03-27,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
reedy & company memphis tn,1,1,40,48,0.54,https://www.reedyandcompany.com/,32,0.17,17.00,0.23,120,"[11,34,3,3,11,11,11,19,3,11,19,53]",2026-03-27,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
house rent in memphis tn,5,5,720,49,0.42,https://www.reedyandcompany.com/rental-properties/,31,0.17,13.00,0.64,119,"[0,0,0,0,0,0,0,0,0,0,0,100]",2026-03-13,"Sitelinks, Image, Related searches",informational,Organic
for rent memphis tn,4,4,480,49,0.65,https://www.reedyandcompany.com/rental-properties/,31,0.17,20.00,0.73,9370000,"[31,25,31,25,25,31,31,20,13,25,20,25]",2026-03-14,"Sitelinks, Video, Related searches",commercial,Organic
memphis houses for rent,7,7,1300,42,0.42,https://www.reedyandcompany.com/rental-properties/,31,0.17,13.00,0.64,5470000,"[54,13,20,20,81,29,20,16,20,16,20,36]",2026-04-09,"Video, Related searches",informational,Organic
tenant at will,5,5,720,21,0.41,https://www.reedyandcompany.com/blog/tenant-at-will-explained-everything-you-need-to-know/,31,0.17,12.00,0.03,0,"[16,16,20,20,20,20,20,20,16,16,13,13]",2026-03-11,"Knowledge panel, Sitelinks, Video, Video Carousel, Related searches",informational,Organic
rent in memphis tn,4,4,480,42,0.65,https://www.reedyandcompany.com/rental-properties/,31,0.17,20.00,0.73,129,"[5,36,45,24,76,5,13,100,76,10,5,6]",2026-04-01,"Video, Related searches",informational,Organic
memphis tennessee rental properties,1,1,480,45,0.79,https://www.reedyandcompany.com/rental-properties/,29,0.16,22.00,0.58,5960000,"[24,45,62,100,45,20,24,16,13,10,10,16]",2026-04-11,"Local pack, Video, Image, People also ask, Related searches, AI overview",commercial,AI overview
2 bedroom houses,1,1,720,23,0.65,https://www.reedyandcompany.com/blog/2-bedroom-houses-for-rent-does-size-matter-a-guide-for-renters/,29,0.16,18.00,0.74,221000000,"[24,13,13,13,13,13,13,8,13,24,10,13]",2026-04-18,"Image pack, Video, Image, Video Carousel, People also ask, Related searches",informational,Image pack
acceptable reasons for late rent payments,1,1,210,8,2.02,https://www.reedyandcompany.com/blog/18-acceptable-reasons-for-late-rent-payments-a-landlords-guide/,27,0.14,54.00,0.02,16500000,"[24,20,16,16,20,20,20,20,20,13,13,8]",2026-04-26,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
reedy property,3,3,590,39,1.72,https://www.reedyandcompany.com/,25,0.13,43.00,0.08,116,"[88,72,72,72,32,48,59,59,39,48,39,39]",2026-03-28,"Local pack, Sitelinks, Video, Related searches",informational,Organic
reedy homes,1,1,30,46,0.90,https://www.reedyandcompany.com/,24,0.13,21.00,0.3,1930000,"[40,40,40,40,60,100,60,40,60,40,60,60]",2026-03-25,"Knowledge panel, Sitelinks, Video, Image, Related searches",navigational,Organic
apartment home,2,2,1600,81,1.72,https://www.reedyandcompany.com/blog/apartment-vs-a-house-which-is-better-for-your-needs/,23,0.12,39.00,0.4,1460000000,"[43,100,8,13,8,19,15,2,28,2,2,8]",2026-04-19,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",informational,Image pack
reed and company,2,2,170,26,0.46,https://www.reedyandcompany.com/,22,0.12,10.00,0.02,110,"[22,43,66,35,22,100,43,22,22,18,14,29]",2026-04-06,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
digital landlord,1,1,170,4,4.79,https://www.reedyandcompany.com/blog/the-ultimate-guide-on-how-to-become-a-digital-landlord/,22,0.12,105.00,0.04,123,"[7,7,8,5,7,5,8,16,8,7,8,8]",2026-03-06,"Sitelinks, Video, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
reedy real estate,2,2,170,33,1.23,https://www.reedyandcompany.com/,22,0.12,27.00,0.08,126,"[53,65,100,65,65,80,80,53,65,80,53,42]",2026-03-26,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
apartment houses,1,1,480,97,0.99,https://www.reedyandcompany.com/blog/apartment-vs-a-house-which-is-better-for-your-needs/,21,0.11,20.00,0.2,175000000,"[24,30,8,41,30,10,5,8,10,24,16,8]",2026-04-16,"Local pack, Image pack, Video, Related searches",commercial,Image pack
property management memphis,4,4,720,54,2.86,https://www.reedyandcompany.com/,21,0.11,60.00,0.47,0,"[46,37,31,37,68,46,37,31,46,25,37,25]",2026-03-11,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
property manager duties,6,6,880,27,0.53,https://www.reedyandcompany.com/blog/a-property-manager-duties-checklist-for-beginners/,21,0.11,11.00,0.12,93500000,"[36,16,16,20,27,24,27,20,24,27,20,20]",2026-04-05,"Sitelinks, Video, Related searches, Short videos, AI overview",informational,Organic
rental companies in memphis tn,2,2,480,53,1.09,https://www.reedyandcompany.com/,21,0.11,22.00,0.43,0,"[44,13,11,20,5,11,11,13,44,20,3,3]",2026-03-09,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
property managment companies near me,1,1,320,53,4.76,https://www.reedyandcompany.com/,20,0.11,95.00,0.34,797000000,"[0,7,3,3,66,4,13,4,4,1,0,0]",2026-04-01,"Local pack, Related searches",transactional,Organic
unprofessional property manager,1,1,140,1,0.00,https://www.reedyandcompany.com/blog/tell-tale-signs-you-have-an-unprofessional-property-manager-and-what-to-do/,18,0.09,0.00,0.03,6510000,"[21,81,81,100,65,28,34,21,21,28,21,21]",2026-04-20,"Sitelinks, Video, Related searches, AI overview",informational,Organic
reedy & company,2,2,720,51,0.46,https://www.reedyandcompany.com/,18,0.09,8.00,0.02,0,"[20,20,20,20,24,20,36,27,13,16,20,16]",2026-03-11,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
renting in memphis,9,9,720,49,0.83,https://www.reedyandcompany.com/rental-properties/,17,0.09,14.00,0.68,65700000,"[13,100,100,100,67,67,13,13,76,55,55,45]",2026-04-12,"Video, Related searches",informational,Organic
rental companies memphis tn,2,2,390,56,1.09,https://www.reedyandcompany.com/,17,0.09,18.00,0.43,4330000,"[72,72,48,26,32,39,39,26,26,21,21,21]",2026-04-13,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
aparmtent,1,1,1000,93,0.00,https://www.reedyandcompany.com/blog/what-are-the-different-types-of-apartments/,17,0.09,0.00,0,1890000000,"[5,8,19,10,8,8,10,15,10,0,0,0]",2026-04-11,"Local pack, Video, Image, Ads bottom, Related searches, Things to know",commercial,Things to know
memphis property management,5,5,720,52,2.86,https://www.reedyandcompany.com/,17,0.09,48.00,0.47,0,"[100,25,68,20,25,25,52,52,37,25,25,25]",2026-03-13,"Local pack, Video, Image, Related searches",commercial,Organic
memphis rental agencies,5,5,720,55,1.09,https://www.reedyandcompany.com/,17,0.09,18.00,0.43,6310000,"[8,2,10,66,54,66,4,24,36,30,41,3]",2026-03-31,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
memphis rentals,5,5,720,60,0.83,https://www.reedyandcompany.com/rental-properties/,17,0.09,14.00,0.68,0,"[88,100,59,100,88,72,48,72,59,72,48,72]",2026-03-13,"Local pack, Video, Image, Related searches",commercial,Organic
house for rent memphis tn,7,7,720,36,0.42,https://www.reedyandcompany.com/rental-properties/,17,0.09,7.00,0.64,21600000,"[30,24,24,24,24,20,24,24,24,16,20,24]",2026-04-03,"Video, Related searches",commercial,Organic
can a property manager evict a tenant,1,1,70,5,0.90,https://www.reedyandcompany.com/blog/can-a-property-manager-evict-a-tenant/,17,0.09,15.00,0.1,2890000,"[11,11,11,17,11,64,82,100,52,29,64,64]",2026-04-26,"Video, Featured snippet, People also ask, Related searches, Discussions and forums",informational,Organic
rental property near me,12,12,5400,64,0.51,https://www.reedyandcompany.com/rental-properties/,16,0.08,8.00,0.66,414000000,"[29,10,29,10,10,29,19,19,16,24,16,8]",2026-04-22,"Local pack, Video, Related searches, AI overview","informational, transactional",Organic
rental management companies near me,7,7,2400,68,5.62,https://www.reedyandcompany.com/,16,0.08,89.00,0.59,219000000,"[66,23,35,35,19,8,19,23,29,19,16,16]",2026-04-26,"Local pack, People also ask, Related searches",transactional,Organic
shelby pointe townhomes,10,10,390,22,0.59,http://www.reedyandcompany.com/shelby-pointe,16,0.08,9.00,0.13,113,"[29,23,36,36,44,44,54,36,44,44,44,44]",2026-03-27,"Knowledge panel, Video, Image, People also ask, Related searches",informational,Knowledge panel
for rent memphis,4,4,260,48,0.65,https://www.reedyandcompany.com/rental-properties/,16,0.08,10.00,0.73,23500000,"[28,54,100,100,66,28,35,28,28,28,23,23]",2026-03-13,"Video, Related searches",informational,Organic
houses for rent in memphis tennessee,4,4,260,40,0.46,https://www.reedyandcompany.com/rental-properties/,16,0.08,7.00,0.6,5630000,"[24,20,24,30,20,20,20,20,20,20,16,16]",2026-04-11,"Video, Related searches",informational,Organic
section 8 homes in memphis tn,10,10,720,18,0.62,https://www.reedyandcompany.com/blog/section-8-houses-for-rent-by-owner-tips-for-memphis-landlords/,15,0.08,9.00,0.13,4540000,"[13,55,100,100,100,76,8,55,67,45,36,45]",2026-04-09,"People also ask, Related searches, See results about",informational,Organic
rental companies memphis,2,2,320,55,1.09,https://www.reedyandcompany.com/,14,0.07,15.00,0.43,11000000,"[100,66,54,36,54,36,36,29,36,23,29,29]",2026-04-20,"Local pack, Sitelinks, Video, Related searches, Discussions and forums",commercial,Organic
house apt,1,1,170,100,1.22,https://www.reedyandcompany.com/blog/apartment-vs-a-house-which-is-better-for-your-needs/,14,0.07,17.00,0.35,0,"[13,8,6,10,13,76,6,8,0,0,0,0]",2026-03-13,"Local pack, Image pack, Video, Related searches",commercial,Image pack
memphis tennessee rental properties,3,3,480,45,0.79,https://www.reedyandcompany.com/rental-properties/,14,0.07,11.00,0.58,5960000,"[24,45,62,100,45,20,24,16,13,10,10,16]",2026-04-11,"Local pack, Video, Image, People also ask, Related searches, AI overview",commercial,Organic
tenant reference letter,4,4,590,16,0.76,https://www.reedyandcompany.com/blog/the-tenant-reference-letter-tips-and-best-practices-for-memphis-landlords/,14,0.07,10.00,0.68,131,"[88,72,88,88,72,59,26,26,32,39,39,39]",2026-03-26,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
homes for rent in memphis,5,5,320,25,0.42,https://www.reedyandcompany.com/rental-properties/,14,0.07,5.00,0.64,5840000,"[16,13,10,13,13,13,30,36,30,30,30,24]",2026-03-14,Related searches,commercial,Organic
duplex for rent near me,20,20,9900,67,0.43,https://www.reedyandcompany.com/rental-properties/,14,0.07,6.00,0.67,34500000,"[54,29,24,24,24,29,24,29,24,29,24,19]",2026-04-25,"Local pack, People also ask, Related searches",transactional,Organic
memphis rental properties,4,4,480,50,0.79,https://www.reedyandcompany.com/rental-properties/,14,0.07,11.00,0.58,4450000,"[24,24,30,41,20,16,16,20,13,16,13,20]",2026-04-15,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
are landlords responsible for unpaid utility bills,2,2,170,1,0.00,https://www.reedyandcompany.com/blog/are-landlords-responsible-for-unpaid-utility-bills/,13,0.07,0.00,0,545000,"[80,65,65,65,53,53,53,65,80,80,34,65]",2026-03-15,"Sitelinks, Video, Related searches, AI overview",informational,Organic
places to rent memphis,5,5,390,48,0.83,https://www.reedyandcompany.com/rental-properties/,13,0.07,10.00,0.68,0,"[21,7,9,7,88,88,17,17,100,72,4,7]",2026-03-14,"Local pack, Video, Ads bottom, Related searches",commercial,Organic
reedy & company memphis property rentals reviews,2,2,170,18,0.48,https://www.reedyandcompany.com/,13,0.07,6.00,0.08,6220,"[80,53,80,100,80,80,80,53,34,53,53,42]",2026-04-06,"Knowledge panel, Sitelinks, Video, Related searches, AI overview","commercial, informational",Organic
property manager resume,4,4,1000,24,1.10,https://www.reedyandcompany.com/blog/9-key-skills-needed-for-becoming-a-property-manager/,12,0.06,13.00,0.31,111000000,"[30,30,24,30,30,34,34,34,34,44,34,24]",2026-04-17,"Image pack, Sitelinks, Related searches, Things to know, AI overview",informational,Things to know
tenant recommendation letter,5,5,590,13,0.76,https://www.reedyandcompany.com/blog/the-tenant-reference-letter-tips-and-best-practices-for-memphis-landlords/,12,0.06,9.00,0.68,8140000,"[36,45,67,45,55,67,55,36,30,30,30,24]",2026-04-13,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
apatment,1,1,720,91,0.00,https://www.reedyandcompany.com/blog/what-are-the-different-types-of-apartments/,12,0.06,0.00,0,1910000000,"[2,0,1,2,1,0,0,0,0,0,0,0]",2026-04-10,"Local pack, Video, Image, Related searches, Things to know",commercial,Things to know
acceptable reasons for late rent payments,1,1,210,8,2.02,https://www.reedyandcompany.com/blog/18-acceptable-reasons-for-late-rent-payments-a-landlords-guide/,12,0.06,24.00,0.02,16500000,"[24,20,16,16,20,20,20,20,20,13,13,8]",2026-04-26,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,AI overview
reedy realty,1,1,50,52,0.39,https://www.reedyandcompany.com/rental-properties/,12,0.06,4.00,0.12,359000,"[64,50,50,35,35,28,50,28,21,21,28,21]",2026-03-05,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
property management companies near me,13,13,8100,66,4.76,https://www.reedyandcompany.com/,12,0.06,57.00,0.34,734000000,"[66,54,36,54,66,36,44,29,44,36,29,36]",2026-04-26,"Local pack, People also ask, Related searches",transactional,Organic
reedy and associates,1,1,50,38,0.00,https://www.reedyandcompany.com/,12,0.06,0.00,0.03,0,"[5,5,7,7,7,5,7,7,5,5,3,7]",2026-03-18,"Knowledge panel, Top stories, Sitelinks, Video, Related searches","informational, transactional",Organic
what can a landlord look at during an inspection,1,1,390,6,0.13,https://www.reedyandcompany.com/blog/what-can-a-landlord-look-at-during-an-inspection/,12,0.06,1.00,0.04,22700000,"[39,39,39,39,32,26,39,32,39,48,39,39]",2026-04-09,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,AI overview
can a landlord evict you for no reason,6,6,590,5,0.46,https://www.reedyandcompany.com/blog/can-a-landlord-evict-you-for-no-reason/,11,0.06,5.00,0.09,3610000,"[67,55,67,45,36,36,30,67,36,30,45,45]",2026-04-12,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
rental properties memphis tn,4,4,390,40,0.79,https://www.reedyandcompany.com/rental-properties/,11,0.06,8.00,0.58,0,"[20,62,30,24,16,16,20,16,20,16,8,13]",2026-03-11,"Local pack, Video, Image, Related searches",commercial,Organic
memphis homes for rent by owner,5,5,390,23,0.24,https://www.reedyandcompany.com/rental-properties/,11,0.06,2.00,0.49,92,"[30,30,20,36,16,30,24,20,24,24,24,20]",2026-03-11,"Video, Related searches, AI overview",informational,Organic
tenant letter of recommendation,3,3,170,17,0.76,https://www.reedyandcompany.com/blog/the-tenant-reference-letter-tips-and-best-practices-for-memphis-landlords/,11,0.06,8.00,0.68,8780000,"[11,28,44,54,54,15,23,44,23,23,23,18]",2026-04-24,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums",informational,Organic
reedy and company memphis tennessee,4,4,2900,47,0.46,https://www.reedyandcompany.com/blog/rehab-your-property-with-reedy-companys-professional-help/,11,0.06,5.00,0.02,199000,"[3,81,100,100,43,54,1,0,24,36,43,54]",2026-04-25,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,People also ask
2 bedroom house,9,9,2900,26,0.65,https://www.reedyandcompany.com/blog/2-bedroom-houses-for-rent-does-size-matter-a-guide-for-renters/,11,0.06,7.00,0.74,1630000000,"[65,65,81,65,65,65,81,65,54,65,65,65]",2026-04-24,"Image pack, Video, Image, Ads bottom, People also ask, Related searches, AI overview",informational,Organic
house for rent memphis,7,7,390,37,0.42,https://www.reedyandcompany.com/rental-properties/,11,0.06,4.00,0.64,44900000,"[24,30,30,30,24,24,45,24,36,30,36,24]",2026-04-12,"Video, Related searches",commercial,Organic
at will tenants,5,5,480,18,0.44,https://www.reedyandcompany.com/blog/tenant-at-will-explained-everything-you-need-to-know/,11,0.06,4.00,0.02,148,"[44,100,81,100,81,100,81,66,81,44,81,66]",2026-04-02,"Sitelinks, Video, Featured snippet, Video Carousel, People also ask, Related searches",informational,Organic
property management companies memphis,1,1,170,50,4.09,https://www.reedyandcompany.com/,11,0.06,44.00,0.54,113,"[35,23,35,28,35,28,53,53,53,100,82,43]",2026-04-06,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
